lat,lon,dk5
56.782547,8.11400711,6
56.817811,8.11400711,6
56.853075,8.11400711,6
56.888339,8.11400711,6
56.923603,8.11400711,6
56.958867,8.11400711,6
56.994131,8.11400711,6
57.029395,8.11400711,6
57.064659,8.11400711,6
57.099923,8.11400711,6
57.135187,8.11400711,6
57.170451,8.11400711,6
57.205715,8.11400711,6
54.560915,8.16273148,6
54.596179,8.16273148,6
54.631443,8.16273148,6
54.666707,8.16273148,6
54.701971,8.16273148,6
54.737235,8.16273148,6
54.772499,8.16273148,6
54.807763,8.16273148,6
54.843027,8.16273148,6
54.878291,8.16273148,6
54.913555,8.16273148,6
54.948819,8.16273148,6
54.984083,8.16273148,6
55.019347,8.16273148,6
55.054611,8.16273148,6
55.089875,8.16273148,6
55.125139,8.16273148,6
55.160403,8.16273148,6
55.195667,8.16273148,6
55.230931,8.16273148,6
55.266195,8.16273148,6
55.301459,8.16273148,6
55.336723,8.16273148,6
55.371987,8.16273148,6
55.407251,8.16273148,6
55.442515,8.16273148,6
55.477779,8.16273148,6
55.513043,8.16273148,6
55.548307,8.16273148,6
55.583571,8.16273148,6
55.618835,8.16273148,6
55.654099,8.16273148,6
55.689363,8.16273148,6
55.724627,8.16273148,6
55.759891,8.16273148,6
55.795155,8.16273148,6
55.830419,8.16273148,6
55.865683,8.16273148,6
55.900947,8.16273148,6
55.936211,8.16273148,6
55.971475,8.16273148,6
56.006739,8.16273148,6
56.042003,8.16273148,6
56.077267,8.16273148,6
56.112531,8.16273148,6
56.147795,8.16273148,6
56.183059,8.16273148,6
56.218323,8.16273148,6
56.253587,8.16273148,6
56.288851,8.16273148,6
56.324115,8.16273148,6
56.359379,8.16273148,6
56.394643,8.16273148,6
56.429907,8.16273148,6
56.465171,8.16273148,6
56.500435,8.16273148,6
56.535699,8.16273148,6
56.570963,8.16273148,6
56.606227,8.16273148,6
56.641491,8.16273148,6
56.676755,8.16273148,6
56.712019,8.16273148,6
56.747283,8.16273148,6
56.782547,8.16273148,6
56.817811,8.16273148,6
56.853075,8.16273148,6
56.888339,8.16273148,6
56.923603,8.16273148,6
56.958867,8.16273148,6
56.994131,8.16273148,6
57.029395,8.16273148,6
57.064659,8.16273148,6
57.099923,8.16273148,6
57.135187,8.16273148,6
57.170451,8.16273148,6
57.205715,8.16273148,6
54.560915,8.21145585,6
54.596179,8.21145585,6
54.631443,8.21145585,6
54.666707,8.21145585,6
54.701971,8.21145585,6
54.737235,8.21145585,6
54.772499,8.21145585,6
54.807763,8.21145585,6
54.843027,8.21145585,6
54.878291,8.21145585,6
54.913555,8.21145585,6
54.948819,8.21145585,6
54.984083,8.21145585,6
55.019347,8.21145585,6
55.054611,8.21145585,6
55.089875,8.21145585,6
55.125139,8.21145585,6
55.160403,8.21145585,6
55.195667,8.21145585,6
55.230931,8.21145585,6
55.266195,8.21145585,6
55.301459,8.21145585,6
55.336723,8.21145585,6
55.371987,8.21145585,6
55.407251,8.21145585,6
55.442515,8.21145585,6
55.477779,8.21145585,6
55.513043,8.21145585,6
55.548307,8.21145585,6
55.583571,8.21145585,6
55.618835,8.21145585,6
55.654099,8.21145585,6
55.689363,8.21145585,6
55.724627,8.21145585,6
55.759891,8.21145585,6
55.795155,8.21145585,6
55.830419,8.21145585,6
55.865683,8.21145585,6
55.900947,8.21145585,6
55.936211,8.21145585,6
55.971475,8.21145585,6
56.006739,8.21145585,6
56.042003,8.21145585,6
56.077267,8.21145585,6
56.112531,8.21145585,6
56.147795,8.21145585,6
56.183059,8.21145585,6
56.218323,8.21145585,6
56.253587,8.21145585,6
56.288851,8.21145585,6
56.324115,8.21145585,6
56.359379,8.21145585,6
56.394643,8.21145585,6
56.429907,8.21145585,6
56.465171,8.21145585,6
56.500435,8.21145585,6
56.535699,8.21145585,6
56.570963,8.21145585,6
56.606227,8.21145585,6
56.641491,8.21145585,6
56.676755,8.21145585,6
56.712019,8.21145585,6
56.747283,8.21145585,6
